-0.438 -54.852
-0.039 -54.677
0.443 -54.451
0.965 -54.832
1.695 -54.399
2.360 -54.037
3.025 -53.651
3.369 -53.834
3.956 -54.127
4.415 -54.430
4.827 -54.162
5.084 -54.309
5.495 -54.543
6.184 -54.114
6.625 -53.814
7.237 -54.101
7.772 -54.396
8.288 -54.033
8.799 -53.668
9.429 -53.233
9.993 -52.792
10.542 -53.065
10.975 -53.332
11.708 -52.783
12.299 -52.375
12.895 -51.963
13.204 -52.141
13.788 -52.477
14.463 -51.997
15.112 -52.307
15.428 -52.084
15.822 -51.787
16.907 -52.169
17.806 -52.467
18.537 -52.734
18.712 -52.553
19.994 -52.817
21.250 -52.909
22.504 -53.051
23.075 -53.098
23.021 -53.200
23.886 -53.309
24.685 -53.422
>
32.126 -47.000
31.865 -47.201
31.588 -47.682
31.306 -48.163
31.008 -48.587
30.705 -49.011
30.362 -49.215
30.006 -49.611
29.712 -49.933
29.343 -50.507
28.969 -51.137
28.605 -51.772
28.403 -52.277
28.312 -52.540
28.111 -52.904
27.479 -52.771
27.370 -52.673
27.322 -52.547
26.713 -52.378
26.513 -52.620
26.338 -53.065
26.181 -53.429
25.987 -53.582
25.861 -53.480
25.647 -53.410
25.180 -53.444
>
32.126 -47.000
33.174 -47.264
33.359 -46.806
33.540 -46.346
33.818 -45.979
33.982 -46.081
34.087 -46.090
34.267 -46.212
34.504 -46.222
34.704 -45.971
34.868 -45.466
35.014 -45.106
35.182 -44.855
35.660 -44.866
35.973 -44.961
36.303 -44.966
36.677 -44.920
37.085 -44.804
37.508 -44.875
38.083 -44.619
38.194 -44.401
38.338 -44.055
39.073 -44.165
39.267 -43.726
39.459 -43.286
40.506 -43.438
41.558 -43.579
41.686 -43.117
41.812 -42.655
42.469 -42.730
42.572 -42.260
42.674 -41.790
42.774 -41.320
42.873 -40.850
44.009 -40.915
44.023 -40.671
44.686 -40.691
44.716 -40.369
45.303 -40.366
45.332 -40.109
46.074 -40.119
46.160 -39.494
46.244 -38.870
47.135 -38.764
48.023 -38.651
48.017 -38.478
48.633 -38.014
49.034 -38.000
49.037 -37.792
49.945 -37.790
49.962 -37.597
50.823 -37.580
50.827 -37.451
51.555 -37.442
52.283 -37.432
52.311 -36.797
52.338 -36.162
52.902 -36.153
53.466 -36.141
53.471 -35.517
54.216 -35.302
54.255 -34.542
55.275 -34.561
55.301 -34.287
55.699 -34.235
55.738 -33.653
56.401 -33.627
57.061 -33.554
57.091 -32.835
57.122 -32.303
57.153 -31.771
57.800 -31.722
58.456 -31.691
58.530 -31.055
59.167 -31.050
59.188 -30.567
60.005 -30.561
60.763 -30.531
60.747 -30.014
60.762 -29.999
60.786 -29.465
60.810 -28.931
61.532 -28.920
61.518 -28.777
62.162 -28.811
62.135 -28.490
62.746 -28.458
62.703 -28.153
63.211 -28.164
63.194 -28.021
63.621 -28.039
63.604 -27.831
64.467 -27.817
65.332 -27.812
65.348 -27.514
66.359 -27.514
66.373 -27.281
67.129 -27.269
67.156 -26.867
67.424 -26.870
67.433 -26.572
67.962 -26.583
67.979 -26.291
68.622 -26.263
68.598 -26.121
68.820 -26.141
68.829 -26.009
69.150 -25.993
69.138 -25.784
69.460 -25.782
69.490 -25.676
>
58.239 12.745
57.868 13.002
57.639 13.138
57.733 13.309
57.810 13.451
57.689 13.523
57.478 13.643
57.301 13.740
57.299 13.772
